PERSON_ID,NOMBRE,APELLIDO,TEAM_ID,TEAM_ABBREVIATION,ALTURA_CM,SEASON_ID,GP,PTS,AST,REB,BLK,MIN,FG_PCT,FG3_PCT,FT_PCT
1629109,Gary,Clark,1610612740,NOP,198,2021-22,38,101,18,90,7,378,0.375,0.4,0.7
1629076,Tyler,Cook,1610612741,CHI,203,2021-22,20,67,3,53,4,200,0.605,0.0,0.656
1630536,Sharife,Cooper,1610612737,ATL,185,2021-22,13,7,5,5,0,39,0.214,0.167,0.0
202326,DeMarcus,Cousins,1610612743,DEN,208,2021-22,17,154,18,98,8,287,0.466,0.271,0.816
1629633,Jarrett,Culver,1610612763,MEM,198,2021-22,37,130,33,48,5,338,0.378,0.255,0.471
202334,Ed,Davis,1610612739,CLE,206,2021-22,31,28,7,64,9,201,0.688,0.0,0.429
1629035,Carsen,Edwards,1610612765,DET,180,2021-22,4,23,14,6,0,79,0.3,0.25,1.0
1629604,CJ,Elleby,1610612757,POR,198,2021-22,58,339,87,227,19,1174,0.393,0.294,0.714
201961,Wayne,Ellington,1610612747,LAL,193,2021-22,43,287,30,77,5,810,0.414,0.389,0.818
202324,Derrick,Favors,1610612760,OKC,206,2021-22,39,206,25,184,12,652,0.516,0.125,0.64
1630238,Malik,Fitts,1610612738,BOS,196,2021-22,7,6,0,10,0,35,0.222,0.5,0.0
